Doc number,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20
Doc 1,book,ogu,pr,history,ol,readers,families,bilbo,westmarch,thain,important,smials,edition,harfoots,text,author,copies,gollum,copy,eriador
Doc 2,bilbo,ect,ed,xp,par,ty,baggins,bag,presents,joke,envelope,spoons,party,bywater,lobelia,proudfoot,ﬁreworks,gaffer,birthday,invitations
Doc 3,pas,ow,gollum,bilbo,shears,ted,hated,frodo,sir,ring,grandmother,hal,rings,wizard,baggins,birthday,elm,hints,revenge,history
Doc 4,gildor,mpa,ny,c,frodo,bag,lane,lobelia,sold,sir,buckland,woodhall,gaffer,bucklebury,pippin,hobbiton,sam,birthday,inglorion,woody
Doc 5,maggot,farmer,ferry,dogs,waggon,ho,hro,lane,mushrooms,rt,om,baggins,c,u,pippin,bucklebury,marish,beer,farm,hallo
Doc 6,ac,ke,maggot,fatty,ir,brandy,conspiracy,n,fredegar,p,bath,c,frodo,buckland,u,bucklanders,brandybucks,gildor,merry,brandywine
Doc 7,tom,willow,ponies,forest,fo,hedge,withywindle,hey,bombadil,bonﬁre,derry,hop,willows,reeds,dol,lilies,hopping,branches,path,merry
Doc 8,tom,goldberry,il,bombadil,nightly,om,willow,ding,candle,b,u,derry,dillo,room,barrows,creak,beans,gown,wool,ﬁreside
Doc 9,tom,ponies,arr,wn,lumpkin,fo,ow,goldberry,hoy,bombadil,fog,hat,b,jogging,mound,barrow,downs,fatty,pony,g
Doc 10,butterbur,bree,inn,landlord,nc,pra,ﬁddle,underhill,cow,nob,po,barliman,strider,local,tray,ny,cat,village,ale,dish
Doc 11,strider,butterbur,nob,letter,landlord,st,underhill,bree,baggins,der,ferny,accident,monday,frodo,spooks,explain,barley,reading,gatekeeper,chuckled
Doc 12,strider,k,weathertop,bree,ferny,beren,dell,bob,butterbur,ponies,bill,thingol,f,n,r,midges,midgewater,archet,marshes,rangers
Doc 13,strider,glorﬁndel,ig,fl,ht,troll,ford,trolls,bone,horse,frodo,weathertop,f,boot,rivendell,tom,rider,bruinen,pursuit,wound
Doc 14,mee,ti,elrond,bilbo,ny,glorﬁndel,frodo,ﬂood,ford,strider,rivendell,cushions,music,feast,mortals,stupid,arwen,lindir,verses,ringwraiths
Doc 15,ci,oun,ron,isildur,radagast,saruman,elrond,c,galdor,boromir,f,sauron,nine,glorﬁndel,gollum,erestor,council,wise,bree,ring
Doc 16,snow,ss,caradhras,g,er,redhorn,boromir,ﬂakes,u,aragorn,elrond,h,hollin,drift,bill,n,bilbo,faggot,gimli,legolas
Doc 17,ark,rne,ou,j,moria,gimli,bill,wolves,boromir,mines,durin,howls,doors,staff,n,arch,dwarves,wizard,legolas,mithril
Doc 18,balin,balrog,ge,uˆm,zad,boromir,doom,chamber,hall,door,bridge,gimli,whip,k,b,drums,fly,corridor,mazarbul,pages
Doc 19,haldir,nimrodel,lori,ﬂet,legolas,silverlode,en,gimli,lo,amroth,cerin,galadhrim,naith,ladder,aragorn,blindfold,glen,rien,elves,boughs
Doc 20,mirror,celeborn,lady,galadriel,haldir,el,ro,r,basin,magic,galadhrim,ﬁreworks,pedestal,fountain,g,bole,fosse,proﬁtable,f,frodo
Doc 21,celeborn,boats,fa,wel,ori,en,boromir,lady,boat,galadriel,galadhrim,valimar,varda,hythe,gimli,cakes,cram,maidens,silverlode,gift
Doc 22,boats,boat,eg,log,tr,rapids,paddle,v,gebir,sarn,aragorn,paddles,r,boromir,fog,voyage,shore,legolas,ﬂet,bank
Doc 23,boromir,ip,ki,rea,hen,boat,el,amon,ng,f,sh,frodo,lawn,lhaw,aragorn,b,sam,brandir,tol,boats
Doc 24,boromir,boat,aragorn,bor,epa,ure,gimli,galen,parth,legolas,orcs,rt,om,ir,rauros,tire,horn,cloven,bier,gulls
Doc 25,gimli,legolas,aragorn,eomer,trail,ide,rs,r,fangorn,downs,orcs,n,entwash,horses,forest,eothain,tracks,rohan,spears,footprints
Doc 26,isengarders,u,northerners,whiteskins,pippin,orcs,ankles,swine,untie,prisoners,knoll,wrists,forest,k,snarled,maggots,gaining,ﬁlthy,orc,merry
Doc 27,treebeard,ents,hm,entwives,bea,hoom,tr,rd,bregalad,ee,ent,entish,dingle,isengard,hasty,rowan,boom,aye,hoo,lists
Doc 28,gimli,legolas,ide,fangorn,hit,w,aragorn,r,treebeard,saruman,shadowfax,forest,isengard,riddle,ents,shelf,man,rags,capture,darken
Doc 29,wormtongue,lde,eomer,terrace,eowyn,k,hall,king,horse,thengel,aragorn,eorlingas,legolas,gimli,neighed,n,shadowfax,staff,dais,heralds
Doc 30,breach,hornburg,eomer,lm,helm,erkenbrand,gamling,dike,deeping,aragorn,caves,p,westfold,khazaˆd,legolas,culvert,gained,coomb,isengard,fastness
Doc 31,ard,ise,oad,legolas,ng,isengard,fords,saruman,caves,gimli,isen,caverns,treebeard,hornburg,eomer,burial,fangorn,herdsmen,groves,heaps
Doc 32,treebeard,ents,huorns,ot,fl,j,ent,saruman,isengard,gimli,barrels,quickbeam,orthanc,pipe,ﬂoods,aragorn,draughts,hm,wormtongue,dams
Doc 33,saruman,orthanc,oic,treebeard,v,ents,rail,unsay,u,injuries,balcony,comprehension,discussions,gibbet,gimli,fangorn,spell,f,legolas,unmoved
